crn,response,instructor
10685,i believe his remarkable experience and knowledge with the course and teaching itself is his greatest strength he is easily the best professor who taught me,"Pavlu, Virgil"
10685,prof virgil is a genius his lectures are really good and it looks at the material is a different perspective,"Pavlu, Virgil"
10685,good at explaining hard concepts in a simple manner good at breakdown hard to read textbook chapters into easy to follow lectures,"Pavlu, Virgil"
10685,i really enjoy how the professor would sometimes leave small  managablysized holes in the material in class leaving bits for us to think about on our own time with this i knew where to devote my extratime to go deeper into the content,"Pavlu, Virgil"
10685,the instructor was very clear about the expectations for the course and cared about the learning of the students very much,"Pavlu, Virgil"
10685,professor pavlu is highly knowledgable great teaching style and expresses ideas very effectively related how certain topics have modern day applications immense knowledge and overall an excellentprofessor the exams were highly challenging and pushed us to prepare harder for it,"Pavlu, Virgil"
10685,the way professor pavvluu teaches algorithms once the class is done even the advanced topics start to seem easy and he does this without spoon feeding everything making you think about all the detailsand coming up with spolutions on your own,"Pavlu, Virgil"
10685,professor was very knowledgeable about the material,"Pavlu, Virgil"
10685,he is very enthusiastic about this course even after teaching it for so many years he explained everything clearly but also challenged everyone to think for themselves as well he cleared all doubts foreveryoneif you want to learn about algorithms and then potentially work in top tech companies i strongly recommend taking his class as it will help you understand where you stand,"Pavlu, Virgil"
10685,the instructor was great at teaching and explaining the difficult concepts of the course he used visualized and outlines very clearly and well in class on the whiteboard while explaining the concepts classwas definitely valuable and every word out of his mouth was pure gold,"Pavlu, Virgil"
10685,profvirgil is a great instructor the best in neu an oldfashioned teaching style of writing everything on the board instead of slides makes the course interactive and engaging,"Pavlu, Virgil"
10685,i think that the professor is very passionate about algorithms,"Pavlu, Virgil"
30569,he explained complex topics well but he could have explained them a little slow,"Tsekourakis, Iraklis"
30569,prof helped and motivated throughout the class to keep people curious throughout this intensive course,"Tsekourakis, Iraklis"
30569,everything,"Tsekourakis, Iraklis"
30569,the course is clear and understandable even for those who learn algorithm at the first time,"Tsekourakis, Iraklis"
30569,it was a deep dive into algorithms it is really helpful for interviews and generally to hone your core computer science skills,"Tsekourakis, Iraklis"
30569,herc is always enthusiastic on the class and will have some questions for students to think on the class and students can ask any questions any time on the class if they dont understand some partsbesides the lecture notes are organized very well students will learn very well based on the lecture notes and the homework question is also good,"Tsekourakis, Iraklis"
30569,prof tsekourakis is an enthusiastic teacher and very interested in communicating with students during lecture he provides detailed instruction and will always answer questions during lecture or online,"Tsekourakis, Iraklis"
30569,prof tsekourakis is an interesting and fun professor,"Tsekourakis, Iraklis"
30569,the professor was very kind and fair he is great with his explanations and encourages us to challenge his ideas to reinforce our learnings,"Tsekourakis, Iraklis"
