crn,response,instructor
10685,i think a lot of students are not initially confident about their solutions and methods and reasoning so including a bank of solved question i feel would be one of the greatest resources for average students ifnot allotherwise there is no way his lectureclass could be more inclusive each lecture was a concentrated dose of pure insight,"Pavlu, Virgil"
10685,i strongly believe he is one of the best professor in khoury,"Pavlu, Virgil"
10685,at the beginning of the course and throughout each new concept the instructor would oftentimes use words designed to scare the students about the difficulty of the material in the course this turned meoff to some of the earlier lectures due to the fear tactic that he employed which was probably just to get people serious about the course and its difficulty however the students already knew the extent ofthe difficulty of the class and this only turned scared me enough to turn me off to learning,"Pavlu, Virgil"
30569,the professor used to be quite abstract at times about the concepts he was trying to explain this is subjective but having more visualizations would have really helped me score better there is a lot of selflearning involved which is good but also infeasible at times due to time constrains in general,"Tsekourakis, Iraklis"
30569,i think my instructor is good enough,"Tsekourakis, Iraklis"
30569,sometimes his penmanship is hard to read,"Tsekourakis, Iraklis"
30569,strength explanation of complex problem statements very wellimprovements could go little slow,"Tsekourakis, Iraklis"
30569,all good,"Tsekourakis, Iraklis"
30569,great course,"Tsekourakis, Iraklis"
30569,he will ask us questions if we dont have any questions the questions guide us to think on different aspect of the algorithm,"Tsekourakis, Iraklis"
37414,i liked the professors dedication to delivering highquality lecture the professor demonstrated clear passion for the subjecti am grateful for the opportunity to learn from such a knowledgeable instructor,"Shesh, Amit"
37414,none,"Shesh, Amit"
37414,overall it is a very inclusive class there was just one thing when classes first started the professor said that we are not allowed to join the teams live lecture its just for recording purposes if we doeveryone in person can see who is not attending class it felt kind of intimidating if we were actually sick or needed to attend remotely then we would be judged,"Shesh, Amit"
37414,he knows how to throughly explain concepts,"Shesh, Amit"
37414,the instructor is very knowledgeable and explains the concepts in a detailed manner he is very supportive and provides a good feedback on any doubts or queries asked his office hours are very useful andalso encourages students to push their boundaries to think of better coding approaches,"Shesh, Amit"
37414,overall the professor was great his teaching style was amazing and was very helpful in office hours as well i do not have any particular areas of improvement to suggest,"Shesh, Amit"
37414,hes good no comment,"Shesh, Amit"
37414,as mentioned one of the best professors ever met in terms of teachingexplains all the issues and solutions in detailcan hardly see any points that needs to be improved,"Shesh, Amit"
37414,the professor teaches the course very well so nothing much to improve,"Shesh, Amit"
37414,the professor was always available for outoftheclass discussions and doubtsthe professor gave constructive feedback on the exam solutions and different ways to solve a problem,"Shesh, Amit"
37414,every wednesday there will be a homework due however instructor always make an requirement change on tuesday class then everyone have to change their current progress even they have alreadydone,"Shesh, Amit"
37414,he is very good just 1 suggestion  he should explain how to write test cases please,"Shesh, Amit"
37414,he can make student understand knowledge easier by his speech,"Shesh, Amit"
37414,while i appreciate the structure and content of this course i believe there is significant room for improvement in terms of embracing evolving educational standards and methodologies as industries andtechnologies develop it is crucial for academic curricula to reflect these changes to remain relevant and effectivei observed that the course predominantly reflects a singular perspective primarily influenced by the instructors specific viewpoint in a dynamic learning environment incorporating multiple perspectivesand adapting to contemporary practices are essential for fostering a more robust understanding of the subjecti would recommend updating the curriculum to include a broader range of ideologies and teaching methods this update could better prepare students for practical application in their future careers byaligning more closely with the latest industry standards and practices,"Shesh, Amit"
37414,the group projects were the most fun ive ever had in a cs coursein terms of inclusive learning i wouldnt change a thing,"Shesh, Amit"
37414,sometimes the requirements are not clear for assignments which could be improved on,"Shesh, Amit"
37414,professor shesh is great at providing feedback in lecture and online through piazza or teams,"Shesh, Amit"
37414,professor shesh is a great instructor he makes his lectures accessible engaging and proivdes opportunities to put them in practice with his homework there are still struggles in managing the teamworkcomponents of his assignments as well as making sure his assignment materials are up to date,"Shesh, Amit"
37414,na,"Shesh, Amit"
37414,provide more transparent fair and reasonable scoring system,"Shesh, Amit"
41152,profound knowledge in web development,"Penarrieta, Cristian"
41152,know where to start,"Penarrieta, Cristian"
41152,very easy to follow lectures and very well designed quizs and assignments,"Penarrieta, Cristian"
41152,the instructor is experienced and professional,"Penarrieta, Cristian"
41152,this is an online development course and according to me the professor has done an excellent job,"Penarrieta, Cristian"
41152,everything is ok,"Penarrieta, Cristian"
41152,nan,"Penarrieta, Cristian"
36915,occasional group discussions helped in the beginning,"Annunziato, Jose"
36915,prof annunziato delivers information very clearly and is able to respond to questions to clarify student misunderstandings,"Annunziato, Jose"
36915,na,"Annunziato, Jose"
36915,na,"Annunziato, Jose"
36915,the professor possesses strong communication skills and is consistently available to assist students his grasp of web development is thorough ensuring that he imparts knowledge effectively theassignments are meticulously structured facilitating not only learning but also the practical application of concepts in project development this thoughtful design of coursework allows students toprogressively build their skills and confidence in web development,"Annunziato, Jose"
36915,as i said the three hours of live coding dont facilitate inclusive learning also the instructor team should pay more attention to assignment preparation this professor has taught this class for manysemesters so errorfree and clear assignment instructions are the basic expectation there are six assignments this semester and every assignment has more than five errorstypos which is unacceptableand makes people feel the instructor didnt treat the class seriously,"Annunziato, Jose"
36915,na,"Annunziato, Jose"
36915,if the code on the homework actually works it makes learning the content easier instead of spending a lot of time debugging,"Annunziato, Jose"
36915,the professor values an inclass learning environment that benefits everyone by ensuring the classroom is quiet allowing all students to fully focus on the lecture rather than discussing the course materialduring class,"Annunziato, Jose"
36915,he is clear and passioante about his teachings,"Annunziato, Jose"
36915,the class definitely imo focuses on breadth over depth i understand why it is a priority to have students touch on all the important concepts however it felt like a constant race to catch up witheverything i never really felt like i had a solid understanding of any given topic and rather than having time to work through it had to forego that understanding to be able to keep up with the next topic,"Annunziato, Jose"
36915,na,"Annunziato, Jose"
36915,he usually explains some difficult and complex content in simple way that we can all understand,"Annunziato, Jose"
36915,na,"Annunziato, Jose"
35159,see above,"Annunziato, Jose"
35159,while the instructor was helpful and approachable he could improve inclusivity by being more available outside of class and diversifying communication channels,"Annunziato, Jose"
35159,i hope we can spend an additional one or two classes on how to use javascript as im having a hard time digesting the new technology,"Annunziato, Jose"
35159,the highlight is the way this course is organized the instructor has made efforts to design the course to help us learn the tech stack required by the companies for the present day it was a great course oneof the best i have taken at neu,"Annunziato, Jose"
35159,its about ta part i have met these things too many times ta cancel the office hour frequently they showed late and reschedule the office hour i know it maybe emergencies but it is too frequent foronline courses the essential part is office hours but it didnt work as i expect,"Annunziato, Jose"
35159,na,"Annunziato, Jose"
35159,na,"Annunziato, Jose"
35159,smaller class more communication and feedback rather than just providing a word document for assignment requirements less nitpicky assignment requirements smaller knowledge gaps betweenassignments,"Annunziato, Jose"
35159,please hire better and responsible tas the current tas are really bad and the professor given the amount of hard work he puts in deserves better tas,"Annunziato, Jose"
35159,coursework was great,"Annunziato, Jose"
21104,very inclusive in all aspects probably the professor that cares about inclusivity the most so far i have seen,"Guerra Gomez, John Alexis"
21104,he is very friendly but i kind of hope the assignments are not so infrequent but big we pretty much just have 4 massive projects and almost nothing else i hope we had more lightweight projects and lessheavy massive projects instead,"Guerra Gomez, John Alexis"
21104,everything is good,"Guerra Gomez, John Alexis"
21104,loved the attitude i liked coming to class,"Guerra Gomez, John Alexis"
21104,overall well appreciated him mentioning he was learning chinese,"Guerra Gomez, John Alexis"
21104,show more cases related to the web development,"Guerra Gomez, John Alexis"
21104,the professor use the lottry and tweet to encourage student to preview all the material before class to have better overview for the knowledge points,"Guerra Gomez, John Alexis"
21104,na,"Guerra Gomez, John Alexis"
21104,professor john is very supportive some improvements could be that some rubrics may not be very clear to understand when we have the project teamwork does not achieve the goal of learningsomething withing a partner,"Guerra Gomez, John Alexis"
21104,while class was helpful sometimes it felt like the projects had nothing to do with what we had covered so far connecting to mongo and implementing crud was taught after that project was due same withteaching passportexpecting implementation having a more conducive schedule would be helpful to helping with our understanding rather than expecting us to figure it out completely on our own iunderstand that struggling is helpful with teaching but i dont think its fair to expect students to learn how to implement for assignments when the topics were not even properly introduced yet,"Guerra Gomez, John Alexis"
21104,sometimes the class can be quite stressful for introverted individuals like myself,"Guerra Gomez, John Alexis"
20297,very inclusive in all aspects probably the professor that cares about inclusivity the most so far i have seen,"Guerra Gomez, John Alexis"
20297,he is very friendly but i kind of hope the assignments are not so infrequent but big we pretty much just have 4 massive projects and almost nothing else i hope we had more lightweight projects and lessheavy massive projects instead,"Guerra Gomez, John Alexis"
20297,everything is good,"Guerra Gomez, John Alexis"
20297,loved the attitude i liked coming to class,"Guerra Gomez, John Alexis"
20297,overall well appreciated him mentioning he was learning chinese,"Guerra Gomez, John Alexis"
20297,show more cases related to the web development,"Guerra Gomez, John Alexis"
20297,the professor use the lottry and tweet to encourage student to preview all the material before class to have better overview for the knowledge points,"Guerra Gomez, John Alexis"
20297,na,"Guerra Gomez, John Alexis"
20297,professor john is very supportive some improvements could be that some rubrics may not be very clear to understand when we have the project teamwork does not achieve the goal of learningsomething withing a partner,"Guerra Gomez, John Alexis"
20297,while class was helpful sometimes it felt like the projects had nothing to do with what we had covered so far connecting to mongo and implementing crud was taught after that project was due same withteaching passportexpecting implementation having a more conducive schedule would be helpful to helping with our understanding rather than expecting us to figure it out completely on our own iunderstand that struggling is helpful with teaching but i dont think its fair to expect students to learn how to implement for assignments when the topics were not even properly introduced yet,"Guerra Gomez, John Alexis"
20297,sometimes the class can be quite stressful for introverted individuals like myself,"Guerra Gomez, John Alexis"
39710,i like how the prof creates a environment of learning i still remember in the first lecture maam brought cards to teach us insertion sort being able to picture what was happening made it very easy for meto understand it i really enjoyed studying this course and would love to take more course under prof lama,"Hamandi, Lama"
39710,professor is very nice and knowledgeable if we could focus more on leetcode questions and let us discuss  solve those questions with what we learned that will be more helpful,"Hamandi, Lama"
39710,na,"Hamandi, Lama"
39710,include more content in lecture thats not in reading,"Hamandi, Lama"
39710,the weekly course plan is well designed,"Hamandi, Lama"
39710,good,"Hamandi, Lama"
39710,great,"Hamandi, Lama"
39710,na,"Hamandi, Lama"
