crn,response,instructor
10685,more solved questions would have been super helpful i believe i would have done significantly better if this was available,"Pavlu, Virgil"
10685,the assignments were a bit lengthy in some weeks and especially the weeks leading to the midterm and end term exams i felt the time spent in typesetting the assignment could have better been utilizedstudying for the exam,"Pavlu, Virgil"
10685,provide some kind of pre requisite brush up materials the initial days were full of math and i really struggled to find the rhythm i completed by bachelors 6 years ago and the last time i studied math was 7years ago so was finding it a little hard to follow along the math was nothing new just that i was out of touch for a long period and the class was fast paced,"Pavlu, Virgil"
10685,do some more background concepts coverage for people who are not having the sufficient prereq else the course becomes too heavy,"Pavlu, Virgil"
10685,sometimes i feels like the professor wants to make the course hard simply for the sake of making the course hard not to challenge the students directly in addition i wish we had more time in the classdevoted to solving problems rather than just lecture however i do understand that we were very short on time and taking time out of lecture to do this might not be possible,"Pavlu, Virgil"
10685, since this is the undergraduate section of graduate algorithms do not just brush over concepts that we shouldve learned in undergraduate when this is the section specifically meant for people whohavent taken it before make the homework and midterms more relevant to what we actually go over in class i understand graduate courses are more independent but it should not be to the extent where i can only do 1 of thehomeworkquestions based on what i learned in class and the rest i have to teach myself or teach the material that will be on the homeworkmidterm in class return homework grades and regrades back in a timely manner it is impossible to assess how well we understand the material if we dont know our grade more often than not students piazza questions are unanswered and it is very difficult to get help and feedback the midterm is incredibly unproductive and does not evaluate how well we know the material in the class just how well we knew one specific topic that we had yet to receive sufficient feedback on lessthan 10 of the class got above a 50 and even with a curve the average was still failing  8 hours is too long for an exam with 6 questions that doesnt even assess most of what we have learned,"Pavlu, Virgil"
10685,nothing,"Pavlu, Virgil"
10685,the instructor cannot do much to make the course better as he already does a lot at a very high level that is both inducive to learning and material retention,"Pavlu, Virgil"
10685,i think that the professor could take his time going through topics like dynamic programming with much more detail too often we would go over an example and then never fully complete it he would explainthe theory but not go over the pseudocode which made it difficult to visualize how to actually implement the solution to the problemthe professor likes students who come into algorithms with a good background knowledge of the subject this is understandable as it is a masters class however many undergraduates were taking thisclass as part of the plusone program as an undergraduate coming into the class with no algorithms background it made it very difficult to follow along and learn the topics properly the professoracknowledged that there were undergraduates in the class but made very little effort to help them he often said that we should have seen this exercise in undergrad even though we had never taken analgorithms class before the resources on the class webpage were very limited as a result i had to find my own materials to teach the topics to myself the professor needs to take the time to help all of hisundergraduate and graduate students with these topics he needs to explain them more instead of skipping over key detailsmultiple times throughout the semester we would not learn a concept until the day the homework was due this happened with topics like memoization as well as prim and kruskals algorithms so we had lessthan 12 hours to use the information we learned in class to complete the homeworkunfortunately i feel like i did not learn much from this class i was constantly struggling to keep up with the material so i fell behind several times i felt like the youtube videos i found did a better job ofexplaining the concepts than the lecture did,"Pavlu, Virgil"
30569,provide better resources for preparing for exams the two exams compromised 60 of my final grade and covered so much content that i wasnt sure what to study it would have been helpful to havesample exams to know what kind of questions to expect it would have also been helpful to have in class or out of class review sessions in the week leading up to the exam to ask questions and gainclarification,"Tsekourakis, Iraklis"
30569,he could keep online recordings,"Tsekourakis, Iraklis"
30569,post lecture notes before hand,"Tsekourakis, Iraklis"
30569,put slides up preclass,"Tsekourakis, Iraklis"
30569,make the lectures available online it is 2024 and classroomonly lectures only cause inconvenience as there is no way of looking back at something that was missed,"Tsekourakis, Iraklis"
30569,maybe try to keep class size as small as possible but i think this is not the problem of instructor,"Tsekourakis, Iraklis"
30569,recordings of lectures,"Tsekourakis, Iraklis"
30569,i wish exams were weighted slightly less and assignments weighted slightly more,"Tsekourakis, Iraklis"
30569,i dont think this is really on the instructor but the course content probably could have gone a bit deeper i took the course as an undergraduate student hoping that it would skip me past a lot of the basicdata structuresalgorithms you learn in high school ap cs but we ultimately spent a lot of time going over things that i would have expected a graduate class to expect preexisting knowledge ofalso grading on homework wasnt always the best though this is on the tas more than the instructor the regrade request system made it so issues could ultimately be resolved but there were many timesthat it was annoying that there was even an issue in the first place and some grading choices had me questioning the graders literacy,"Tsekourakis, Iraklis"
30569,all good,"Tsekourakis, Iraklis"
30569,great course,"Tsekourakis, Iraklis"
30569,post the lecture notes before the class during oh explain concepts in a different way,"Tsekourakis, Iraklis"
30569,the only real part of the course i would change would be to release the notes before the class lectures i find in my other classes that reviewing the notes beforehand helps me absorb the information duringclass more easily,"Tsekourakis, Iraklis"
30569,he could give us some optional practice questions,"Tsekourakis, Iraklis"
30569,preferably spend some more time going in depth explaining what is going on with the algorithm and make sure people understand complicated ideas,"Tsekourakis, Iraklis"
37414,either give more time for the assignments or maybe reduce the difficulty level student who are fresh grad from college have a tough time in this subject something needs to be done to make it easier forthem i definitely learned a lot from the course but it was mentally draining,"Shesh, Amit"
37414,first there is no room for accommodation in this class you get a set number of late days and can only use one late day for an assignment i had a life situation come up that i had to take time to deal withand the professor offered an extension but later in the semester he refused to accept my assignment a little bit late despite me mentioning the extension that i didnt use i dont want to bend the rules butit felt ridiculous that i had justification for not having enough time and how hard me and my partner worked to finish up immediately after the deadline resulted in 0 credit for that worki think the workload is unreasonable especially when the nonstop projects assignments start coming up this class doesnt take into consideration that we are students with other classes andresponsibilities all of the assignments take 20 hours each and this is on top of weekly labs selfevaluations and code walks a new assignment is released every 2 weeks with no breaks most of the 2 weeksfor the first assignment was spring break so we had to work during the break one of the required portions was to write tests and we didnt have the lecture on how to test these kinds of programs until theday before the deadline it seemed unreasonable to expect us to make a fully functional modelviewcontroller mvc program with a user interface with no starter code when from lecture we only had thesimplest code examples of mvc,"Shesh, Amit"
37414,some of the grading rubric with respect to assignments focus more on other aspects as compared to design of the code more weightage can be given to the way the features are implemented or thestructure of the code,"Shesh, Amit"
37414,decrease the ambiguity in the assignment instructionsrefactor the ta selection process as the ones this semester were mostly misleading to what was expected most of all the newly appointed tas  in fact some of their suggestion cost a lot points to a fewstudentshave a better grading system where students can understand their mistakes in the first assignment and learn from them rather than finding out about the issue in the last few assignmentsplease mention it early about any new library to be used as learning a whole new ui library in few days at end sem would be challenging for students new to it while those who have previously worked on thelibrary will walk through it like a breeze creating an unjust handicaplet the tas know more about the assignments as some of their suggestions or replies were outright rejected when asked to the professor which means no one can be confident over the tas guidancehave a strict and clear scoring system where in if one student lost points due to certain reasons everyone else should too or else no one else shouldand scoring based on lot of things other than design has caused students to ineffectively spend more time in those things due to being scared of loosing points due to some unrelated unmentioned issue,"Shesh, Amit"
37414,mention all the desired outcomes in the assignment since students usually cannot assume what might be present in the rubric but not in the assignment i know that in real life clients do not specifyeverything but still there should be a hint in the assignment at least because a student cannot implement lot more things not asked in the assignment just by assuming some of them might be in the rubric,"Shesh, Amit"
37414,if the workload is slightly lighter,"Shesh, Amit"
37414,please make 1 or 2 lectures on how to write test cases i am really sad with the fact that i lost most of my grades on test cases and hence the students further should not go through the same please includea lecture for test cases,"Shesh, Amit"
37414,there was a factor of uneven workload distribution in the last 4 group assignments i do not know how one would tackle this but it is a concurrent issue also i think the course should have mandatedimplementation of at least 2 design patterns in the assignments,"Shesh, Amit"
37414,some assignments were ambiguous and were not clear making the requirements clear in assignments would great,"Shesh, Amit"
37414,teaching the topics that come in handy for assignments before the assignment is released,"Shesh, Amit"
37414,provide clear and reasonable rubrics train unified scoring ta,"Shesh, Amit"
37414,i liked the way the course topics were taught by the professor the professor kept the class very engaging and the concepts were explained clearly and in an easy to understand way,"Shesh, Amit"
37414,the assignment descriptions could have been a little more descriptive in certain cases highlighting clearly what was expected of us,"Shesh, Amit"
37414,make the deadlines at midnight instead of 9pm i dont see the point of making it earlier because some assignments are not graded immediately as students we have more time at night because we spendtime commuting during the day,"Shesh, Amit"
